id,direction,scheduled,flight_number,city,airline,terminal,gate,last_status,created_at,updated_at,is_primary,actual,flight_guid,plane
2742173,d,2017-10-06 04:45:00 +0200,QS1146,Rhodes (GR),Travel Service,Terminal 2,D4,Departed 04:40,2017-10-05 04:47:16 +0200,2017-10-06 04:58:16 +0200,true,2017-10-06 04:40:00 +0200,,
2743108,d,2017-10-06 04:45:00 +0200,QS1190,Antalya (TR),Travel Service,Terminal 1,A8,Departed 04:59,2017-10-05 04:47:16 +0200,2017-10-06 05:12:14 +0200,true,2017-10-06 04:59:00 +0200,,
2742175,d,2017-10-06 04:50:00 +0200,QS1126,Kos (GR),Travel Service,Terminal 2,D5,Departed 04:47,2017-10-05 04:53:16 +0200,2017-10-06 05:02:13 +0200,true,2017-10-06 04:47:00 +0200,,
2743109,d,2017-10-06 05:05:00 +0200,PS0810,Kiev/Borispol (UA),Ukraine International Airlines,Terminal 1,A9,Departed 05:06,2017-10-05 05:12:16 +0200,2017-10-06 05:21:16 +0200,true,2017-10-06 05:06:00 +0200,,
2743111,d,2017-10-06 06:00:00 +0200,LH1403,Frankfurt (DE),Lufthansa,Terminal 2,C9,Departed 05:59,2017-10-05 06:05:15 +0200,2017-10-06 06:15:14 +0200,true,2017-10-06 05:59:00 +0200,,
2743149,d,2017-10-06 06:00:00 +0200,OK0960,Kosice (SK) via Bratislava (SK),Czech Airlines,Terminal 2,C14,Departed 06:00,2017-10-05 06:05:15 +0200,2017-10-06 06:23:14 +0200,true,2017-10-06 06:00:00 +0200,,
2742223,d,2017-10-06 06:00:00 +0200,TP1307,Lisbon (PT),Tap Portugal,Terminal 2,C7,Departed 06:14,2017-10-05 06:05:15 +0200,2017-10-06 06:39:15 +0200,true,2017-10-06 06:14:00 +0200,,
2742222,d,2017-10-06 06:10:00 +0200,W62791,Tel Aviv (IL),Wizz Air,Terminal 1,B10,Departed 06:17,2017-10-05 06:15:16 +0200,2017-10-06 06:33:16 +0200,true,2017-10-06 06:17:00 +0200,,
2743123,d,2017-10-06 06:15:00 +0200,FR2122,Brussels/Charleroi (BE),Ryanair,Terminal 2,D3,Departed 06:07,2017-10-05 06:17:16 +0200,2017-10-06 06:23:14 +0200,true,2017-10-06 06:07:00 +0200,,
2743124,d,2017-10-06 06:30:00 +0200,KL1350,Amsterdam (NL),Klm Royal Dutch Airlines,Terminal 2,C4,Departed 06:28,2017-10-05 06:34:17 +0200,2017-10-06 06:45:14 +0200,true,2017-10-06 06:28:00 +0200,,
2743151,d,2017-10-06 06:40:00 +0200,FR1014,London/Stansted (GB),Ryanair,Terminal 1,B1,Departed 06:42,2017-10-05 06:48:17 +0200,2017-10-06 06:58:14 +0200,true,2017-10-06 06:42:00 +0200,,
2742200,d,2017-10-06 06:45:00 +0200,AB8241,Berlin/Tegel (DE),Air Berlin,Terminal 2,C20,Cancelled,2017-10-05 06:50:14 +0200,2017-10-06 00:26:18 +0200,true,,,
2743243,d,2017-10-06 06:50:00 +0200,BA0853,London/Heathrow (GB),British Airways,Terminal 1,A3,Departed 07:55,2017-10-05 06:53:17 +0200,2017-10-06 08:13:15 +0200,true,2017-10-06 07:55:00 +0200,,
2743152,d,2017-10-06 06:50:00 +0200,SN2816,Brussels/Zaventem (BE),Brussels Airlines,Terminal 2,C6,Departed 06:51,2017-10-05 06:53:17 +0200,2017-10-06 07:06:16 +0200,true,2017-10-06 06:51:00 +0200,,
2743196,d,2017-10-06 06:55:00 +0200,OK0522,Dusseldorf (DE),Czech Airlines,Terminal 2,C15,Departed 07:03,2017-10-05 07:02:16 +0200,2017-10-06 07:12:17 +0200,true,2017-10-06 07:03:00 +0200,,
2743194,d,2017-10-06 06:55:00 +0200,OK0630,Brussels/Zaventem (BE),Czech Airlines,Terminal 2,D2,Departed 06:56,2017-10-05 07:02:16 +0200,2017-10-06 07:12:17 +0200,true,2017-10-06 06:56:00 +0200,,
2743154,d,2017-10-06 06:55:00 +0200,OK7320,Braunschweig (DE),Czech Airlines,Terminal 3,"",Departed 06:54,2017-10-05 07:02:16 +0200,2017-10-06 07:06:16 +0200,true,2017-10-06 06:54:00 +0200,,
2743201,d,2017-10-06 07:00:00 +0200,OK0616,Amsterdam (NL),Czech Airlines,Terminal 2,C11,Departed 07:02,2017-10-05 07:03:18 +0200,2017-10-06 07:16:16 +0200,true,2017-10-06 07:02:00 +0200,,
2743158,d,2017-10-06 07:05:00 +0200,OK0510,Aarhus (DK),Czech Airlines,Terminal 2,C18,Departed 07:03,2017-10-05 07:08:18 +0200,2017-10-06 07:16:16 +0200,true,2017-10-06 07:03:00 +0200,,
