id,direction,scheduled,flight_number,city,airline,terminal,gate,last_status,created_at,updated_at,is_primary,actual,flight_guid,plane
1601821,a,2014-02-21 06:10:00 +0100,OK0915,Rostov on Don (RU),Czech Airlines,Terminal 1,,Arrived 06:02,2016-07-17 03:45:39 +0200,2016-12-09 09:10:58 +0100,true,2014-02-21 06:02:00 +0100,,
1605737,a,2014-02-21 06:20:00 +0100,OK0979,Kosice (SK),Czech Airlines,Terminal 2,,Arrived 05:59,2016-07-17 03:45:39 +0200,2016-12-09 09:11:47 +0100,true,2014-02-21 05:59:00 +0100,,
1890756,a,2014-02-21 06:55:00 +0100,LT0401,Vilnius (LT),Air Lituanica,Terminal 2,,Arrived 06:34,2016-07-17 03:45:39 +0200,2016-12-09 08:58:15 +0100,true,2014-02-21 06:34:00 +0100,,
2022530,a,2014-02-21 07:35:00 +0100,OS0703,Vienna (AT),Austrian Airlines,Terminal 2,,Arrived 07:21,2016-07-17 03:45:39 +0200,2016-12-09 09:19:20 +0100,true,2014-02-21 07:21:00 +0100,,
1869136,a,2014-02-21 08:15:00 +0100,LH3050,Dusseldorf (DE),Lufthansa,Terminal 2,,Arrived 08:07,2016-07-17 03:45:39 +0200,2016-12-09 08:56:48 +0100,true,2014-02-21 08:07:00 +0100,,
1642137,a,2014-02-21 08:25:00 +0100,HV5287,Rotterdam (NL),Transavia.com,Terminal 2,,Arrived 08:24,2016-07-17 03:45:39 +0200,2016-12-09 08:44:28 +0100,true,2014-02-21 08:24:00 +0100,,
1621590,a,2014-02-21 08:25:00 +0100,LO0523,Warsaw (PL),Lot Polish Airlines,Terminal 2,,Arrived 08:21,2016-07-17 03:45:39 +0200,2016-12-09 08:57:07 +0100,true,2014-02-21 08:21:00 +0100,,
1907977,a,2014-02-21 08:35:00 +0100,LX1472,Geneva (CH),Swiss International Air Lines,Terminal 2,,Arrived 08:27,2016-07-17 03:45:39 +0200,2016-12-09 08:58:23 +0100,true,2014-02-21 08:27:00 +0100,,
1938450,a,2014-02-21 08:45:00 +0100,LH1688,Munich (DE),Lufthansa,Terminal 2,,Arrived 08:39,2016-07-17 03:45:39 +0200,2016-12-09 08:55:54 +0100,true,2014-02-21 08:39:00 +0100,,
1998704,a,2014-02-21 08:55:00 +0100,AF1382,Paris/CDG (FR),Air France,Terminal 2,,Arrived 08:58,2016-07-17 03:45:39 +0200,2016-12-09 08:23:58 +0100,true,2014-02-21 08:58:00 +0100,,
2088107,a,2014-02-21 09:00:00 +0100,RO0225,Bucharest (RO),Tarom,Terminal 1,,Arrived 08:36,2016-07-17 03:45:39 +0200,2016-12-09 09:35:17 +0100,true,2014-02-21 08:36:00 +0100,,
1943895,a,2014-02-21 09:10:00 +0100,LY0523,Tel Aviv (IL),El Al Israel Airlines,Terminal 1,,Arrived 09:06,2016-07-17 03:45:39 +0200,2016-12-09 08:59:22 +0100,true,2014-02-21 09:06:00 +0100,,
1924104,a,2014-02-21 09:15:00 +0100,KL1351,Amsterdam (NL),Klm Royal Dutch Airlines,Terminal 2,,Arrived 09:01,2016-07-17 03:45:39 +0200,2016-12-09 08:51:04 +0100,true,2014-02-21 09:01:00 +0100,,
1965201,a,2014-02-21 09:15:00 +0100,LH1392,Frankfurt (DE),Lufthansa,Terminal 2,,Arrived 09:12,2016-07-17 03:45:39 +0200,2016-12-09 08:54:28 +0100,true,2014-02-21 09:12:00 +0100,,
1645780,a,2014-02-21 09:15:00 +0100,OK0287,Tel Aviv (IL),Czech Airlines,Terminal 1,,Arrived 08:52,2016-07-17 03:45:39 +0200,2016-12-09 09:01:50 +0100,true,2014-02-21 08:52:00 +0100,,
1859227,a,2014-02-21 09:20:00 +0100,JU0610,Belgrade (RS),Air Serbia,Terminal 1,,Arrived 09:04,2016-07-17 03:45:39 +0200,2016-12-09 08:46:47 +0100,true,2014-02-21 09:04:00 +0100,,
2023693,a,2014-02-21 09:35:00 +0100,OK0947,Ekaterinburg (RU),Czech Airlines,Terminal 1,,Arrived 09:09,2016-07-17 03:45:39 +0200,2016-12-09 09:11:16 +0100,true,2014-02-21 09:09:00 +0100,,
2079553,a,2014-02-21 09:35:00 +0100,QS2593,Sharm El Sheikh (EG),Travel Service,Terminal 1,,Arrived 09:15,2016-07-17 03:45:39 +0200,2016-12-09 09:26:44 +0100,true,2014-02-21 09:15:00 +0100,,
1920627,a,2014-02-21 09:40:00 +0100,LX1484,Zurich (CH),Swiss International Air Lines,Terminal 2,,Arrived 09:23,2016-07-17 03:45:39 +0200,2016-12-09 08:58:34 +0100,true,2014-02-21 09:23:00 +0100,,
1957489,a,2014-02-21 09:50:00 +0100,OK7321,Braunschweig (DE),Czech Airlines,Terminal 3,,Arrived 09:35,2016-07-17 03:45:39 +0200,2016-12-09 09:18:52 +0100,true,2014-02-21 09:35:00 +0100,,
1906452,a,2014-02-21 09:50:00 +0100,SU2010,Moscow/Sheremetyevo (RU),Aeroflot,Terminal 1,,Arrived 09:45,2016-07-17 03:45:39 +0200,2016-12-09 09:38:34 +0100,true,2014-02-21 09:45:00 +0100,,
1986535,a,2014-02-21 09:55:00 +0100,OK0691,Barcelona (ES),Czech Airlines,Terminal 2,,Arrived 09:28,2016-07-17 03:45:39 +0200,2016-12-09 09:06:07 +0100,true,2014-02-21 09:28:00 +0100,,
2051118,a,2014-02-21 10:00:00 +0100,QS1035,Paris/CDG (FR),Travel Service,Terminal 2,,Arrived 10:10,2016-07-17 03:45:39 +0200,2016-12-09 09:22:31 +0100,true,2014-02-21 10:10:00 +0100,,
2088911,a,2014-02-21 10:00:00 +0100,S70857,Novosibirsk (RU),S7 Airlines,Terminal 1,,Arrived 09:49,2016-07-17 03:45:39 +0200,2016-12-09 09:35:47 +0100,true,2014-02-21 09:49:00 +0100,,
1923141,a,2014-02-21 10:05:00 +0100,EZY3063,London/Stansted (GB),Easyjet,Terminal 1,,Arrived 09:58,2016-07-17 03:45:39 +0200,2016-12-09 08:40:57 +0100,true,2014-02-21 09:58:00 +0100,,
1644307,a,2014-02-21 10:15:00 +0100,W62692,Naples (IT),Wizz Air,Terminal 2,,Arrived 09:51,2016-07-17 03:45:39 +0200,2016-12-09 09:50:50 +0100,true,2014-02-21 09:51:00 +0100,,
1895684,a,2014-02-21 10:20:00 +0100,BA0854,London/Heathrow (GB),British Airways,Terminal 1,,Arrived 10:13,2016-07-17 03:45:39 +0200,2016-12-09 08:28:31 +0100,true,2014-02-21 10:13:00 +0100,,
1992383,a,2014-02-21 10:20:00 +0100,OK0535,Frankfurt (DE),Czech Airlines,Terminal 2,,Arrived 12:30,2016-07-17 03:45:39 +0200,2016-12-09 09:04:02 +0100,true,2014-02-21 12:30:00 +0100,,
1959688,a,2014-02-21 10:25:00 +0100,OK0523,Dusseldorf (DE),Czech Airlines,Terminal 2,,Arrived 10:51,2016-07-17 03:45:39 +0200,2016-12-09 09:03:20 +0100,true,2014-02-21 10:51:00 +0100,,
2090244,a,2014-02-21 10:25:00 +0100,SN2809,Brussels/Zaventem (BE),Brussels Airlines,Terminal 2,,Arrived 10:07,2016-07-17 03:45:39 +0200,2016-12-09 09:36:15 +0100,true,2014-02-21 10:07:00 +0100,,
1875411,a,2014-02-21 10:30:00 +0100,TK1767,Istanbul/Atatürk (TR),Turkish Airlines,Terminal 1,,Arrived 10:05,2016-07-17 03:45:39 +0200,2016-12-09 09:41:16 +0100,true,2014-02-21 10:05:00 +0100,,
1913492,a,2014-02-21 10:35:00 +0100,EZY6961,Edinburgh (GB),Easyjet,Terminal 1,,Arrived 10:53,2016-07-17 03:45:39 +0200,2016-12-09 08:42:25 +0100,true,2014-02-21 10:53:00 +0100,,
1904502,a,2014-02-21 10:40:00 +0100,LH1394,Frankfurt (DE),Lufthansa,Terminal 2,,Arrived 10:39,2016-07-17 03:45:39 +0200,2016-12-09 08:54:43 +0100,true,2014-02-21 10:39:00 +0100,,
1646408,a,2014-02-21 10:40:00 +0100,OK0787,Budapest (HU),Czech Airlines,Terminal 2,,Arrived 10:34,2016-07-17 03:45:39 +0200,2016-12-09 09:08:56 +0100,true,2014-02-21 10:34:00 +0100,,
1873381,a,2014-02-21 10:45:00 +0100,AY2715,Helsinki (FI),Finnair,Terminal 2,,Arrived 10:45,2016-07-17 03:45:39 +0200,2016-12-09 08:26:33 +0100,true,2014-02-21 10:45:00 +0100,,
1979498,a,2014-02-21 10:45:00 +0100,OK0631,Brussels/Zaventem (BE),Czech Airlines,Terminal 2,,Arrived 10:37,2016-07-17 03:45:39 +0200,2016-12-09 09:05:29 +0100,true,2014-02-21 10:37:00 +0100,,
2035613,a,2014-02-21 10:45:00 +0100,OS0705,Vienna (AT),Austrian Airlines,Terminal 2,,Arrived 10:28,2016-07-17 03:45:39 +0200,2016-12-09 09:19:36 +0100,true,2014-02-21 10:28:00 +0100,,
1610787,a,2014-02-21 10:50:00 +0100,OK0543,Hamburg (DE),Czech Airlines,Terminal 2,,Arrived 10:42,2016-07-17 03:45:39 +0200,2016-12-09 09:04:29 +0100,true,2014-02-21 10:42:00 +0100,,
1991714,a,2014-02-21 10:50:00 +0100,OK0719,Milan/Malpensa (IT),Czech Airlines,Terminal 2,,Arrived 10:23,2016-07-17 03:45:39 +0200,2016-12-09 09:06:28 +0100,true,2014-02-21 10:23:00 +0100,,
1889385,a,2014-02-21 10:55:00 +0100,A30864,Athens (GR),Aegean Airlines,Terminal 2,,Arrived 10:32,2016-07-17 03:45:39 +0200,2016-12-09 08:19:41 +0100,true,2014-02-21 10:32:00 +0100,,
1974686,a,2014-02-21 10:55:00 +0100,OK0617,Amsterdam (NL),Czech Airlines,Terminal 2,,Arrived 10:49,2016-07-17 03:45:39 +0200,2016-12-09 09:05:03 +0100,true,2014-02-21 10:49:00 +0100,,
1950883,a,2014-02-21 10:55:00 +0100,OK0961,Kosice (SK) via Bratislava (SK),Czech Airlines,Terminal 2,,Arrived 10:56,2016-07-17 03:45:39 +0200,2016-12-09 09:11:19 +0100,true,2014-02-21 10:56:00 +0100,,
1955046,a,2014-02-21 11:00:00 +0100,OK0505,Copenhagen (DK),Czech Airlines,Terminal 2,,Arrived 11:01,2016-07-17 03:45:39 +0200,2016-12-09 09:02:30 +0100,true,2014-02-21 11:01:00 +0100,,
1945843,a,2014-02-21 11:20:00 +0100,DY4571,Stockholm/Arlanda (SE),Norwegian,Terminal 2,,Arrived 11:27,2016-07-17 03:45:39 +0200,2016-12-09 08:37:39 +0100,true,2014-02-21 11:27:00 +0100,,
1983009,a,2014-02-21 11:20:00 +0100,FB0301,Sofia (BG),Bulgaria Air,Terminal 1,,Arrived 11:23,2016-07-17 03:45:39 +0200,2016-12-09 08:42:48 +0100,true,2014-02-21 11:23:00 +0100,,
1889889,a,2014-02-21 11:30:00 +0100,AF1536,Paris/CDG (FR),Air France,Terminal 2,,Arrived 11:31,2016-07-17 03:45:39 +0200,2016-12-09 08:24:18 +0100,true,2014-02-21 11:31:00 +0100,,
1890945,a,2014-02-21 11:30:00 +0100,LT0402,Paris/CDG (FR),Air Lituanica,Terminal 2,,Arrived 11:13,2016-07-17 03:45:39 +0200,2016-12-09 08:58:15 +0100,true,2014-02-21 11:13:00 +0100,,
1905431,a,2014-02-21 11:30:00 +0100,OK0759,Paris/CDG (FR),Czech Airlines,Terminal 2,,Arrived 11:31,2016-07-17 03:45:39 +0200,2016-12-09 09:07:40 +0100,true,2014-02-21 11:31:00 +0100,,
1900504,a,2014-02-21 11:50:00 +0100,DY5846,Helsinki (FI),Norwegian,Terminal 2,,Arrived 12:08,2016-07-17 03:45:39 +0200,2016-12-09 08:37:52 +0100,true,2014-02-21 12:08:00 +0100,,
1937278,a,2014-02-21 11:50:00 +0100,EZY5493,London/Gatwick (GB),Easyjet,Terminal 1,,Arrived 11:40,2016-07-17 03:45:39 +0200,2016-12-09 08:41:49 +0100,true,2014-02-21 11:40:00 +0100,,
2045704,a,2014-02-21 11:50:00 +0100,PS0807,Kiev/Boryspil (UA),Ukraine International Airlines,Terminal 1,,Arrived 11:25,2016-07-17 03:45:39 +0200,2016-12-09 09:21:30 +0100,true,2014-02-21 11:25:00 +0100,,
1613344,a,2014-02-21 11:55:00 +0100,FV0221,St Petersburg (RU),Rossiya Airlines,Terminal 1,,Arrived 11:34,2016-07-17 03:45:39 +0200,2016-12-09 08:43:47 +0100,true,2014-02-21 11:34:00 +0100,,
