id,direction,scheduled,flight_number,city,airline,terminal,gate,last_status,created_at,updated_at,is_primary,actual,flight_guid,plane
2720881,d,2017-09-11 04:00:00 +0200,QS1108,Larnaca (CY),Travel Service,Terminal 1,A8,Departed 03:58,2017-09-10 04:06:20 +0200,2017-09-11 04:11:18 +0200,true,2017-09-11 03:58:00 +0200,,
2721904,d,2017-09-11 04:15:00 +0200,QS1182,Bourgas (BG),Travel Service,Terminal 1,A4,Departed 04:13,2017-09-10 04:18:20 +0200,2017-09-11 04:25:16 +0200,true,2017-09-11 04:13:00 +0200,,
2720884,d,2017-09-11 04:45:00 +0200,QS1146,Rhodes (GR),Travel Service,Terminal 2,D1,Departed 04:39,2017-09-10 04:52:20 +0200,2017-09-11 04:55:15 +0200,true,2017-09-11 04:39:00 +0200,,
2721913,d,2017-09-11 04:50:00 +0200,QS1126,Kos (GR),Travel Service,Terminal 2,D2,Departed 04:46,2017-09-10 04:54:20 +0200,2017-09-11 05:03:16 +0200,true,2017-09-11 04:46:00 +0200,,
2721907,d,2017-09-11 04:55:00 +0200,QS1102,Heraklion (GR),Travel Service,Terminal 2,C11,Departed 04:46,2017-09-10 04:58:21 +0200,2017-09-11 04:59:16 +0200,true,2017-09-11 04:46:00 +0200,,
2721920,d,2017-09-11 05:05:00 +0200,QS1186,Varna (BG),Travel Service,Terminal 1,A9,Departed 05:01,2017-09-10 05:10:17 +0200,2017-09-11 05:15:15 +0200,true,2017-09-11 05:01:00 +0200,,
2721922,d,2017-09-11 05:10:00 +0200,QS1114,Corfu (GR),Travel Service,Terminal 2,D4,Departed 05:05,2017-09-10 05:14:20 +0200,2017-09-11 05:21:17 +0200,true,2017-09-11 05:05:00 +0200,,
2721925,d,2017-09-11 05:15:00 +0200,QS1118,Zakinthos (GR),Travel Service,Terminal 2,C10,Departed 05:14,2017-09-10 05:18:19 +0200,2017-09-11 05:31:17 +0200,true,2017-09-11 05:14:00 +0200,,
2721928,d,2017-09-11 05:20:00 +0200,QS1180,Bourgas (BG),Travel Service,Terminal 1,A6,Departed 05:32,2017-09-10 05:24:16 +0200,2017-09-11 05:50:14 +0200,true,2017-09-11 05:32:00 +0200,,
2720916,d,2017-09-11 06:00:00 +0200,LH1403,Frankfurt (DE),Lufthansa,Terminal 2,C9,Departed 05:55,2017-09-10 06:03:19 +0200,2017-09-11 06:09:16 +0200,true,2017-09-11 05:55:00 +0200,,
2721958,d,2017-09-11 06:00:00 +0200,OK0960,Kosice (SK) via Bratislava (SK),Czech Airlines,Terminal 2,C17,Departed 06:08,2017-09-10 06:03:19 +0200,2017-09-11 06:23:16 +0200,true,2017-09-11 06:08:00 +0200,,
2721961,d,2017-09-11 06:00:00 +0200,QS1130,Preveza (GR),Travel Service,Terminal 2,D6,Departed 06:03,2017-09-10 06:03:19 +0200,2017-09-11 06:23:16 +0200,true,2017-09-11 06:03:00 +0200,,
2721997,d,2017-09-11 06:10:00 +0200,W62791,Tel Aviv (IL),Wizz Air,Terminal 1,B10,Departed 06:18,2017-09-10 06:13:20 +0200,2017-09-11 06:33:16 +0200,true,2017-09-11 06:18:00 +0200,,
2721998,d,2017-09-11 06:15:00 +0200,FR2122,Brussels/Charleroi (BE),Ryanair,Terminal 2,D3,Departed 06:15,2017-09-10 06:19:19 +0200,2017-09-11 06:33:16 +0200,true,2017-09-11 06:15:00 +0200,,
2722000,d,2017-09-11 06:30:00 +0200,KL1350,Amsterdam (NL),Klm Royal Dutch Airlines,Terminal 2,C4,Departed 06:29,2017-09-10 06:34:21 +0200,2017-09-11 06:45:13 +0200,true,2017-09-11 06:29:00 +0200,,
2722001,d,2017-09-11 06:40:00 +0200,AB8241,Berlin/Tegel (DE),Air Berlin,Terminal 2,C20,Departed 06:39,2017-09-10 06:44:20 +0200,2017-09-11 06:50:15 +0200,true,2017-09-11 06:39:00 +0200,,
2721933,d,2017-09-11 06:40:00 +0200,FR1014,London/Stansted (GB),Ryanair,Terminal 1,B1,Departed 06:43,2017-09-10 06:44:20 +0200,2017-09-11 06:58:16 +0200,true,2017-09-11 06:43:00 +0200,,
2720974,d,2017-09-11 06:45:00 +0200,TP1307,Lisbon (PT),Tap Portugal,Terminal 2,C7,Departed 06:41,2017-09-10 06:50:18 +0200,2017-09-11 06:58:16 +0200,true,2017-09-11 06:41:00 +0200,,
2722048,d,2017-09-11 06:50:00 +0200,BA0853,London/Heathrow (GB),British Airways,Terminal 1,A3,Departed 07:04,2017-09-10 06:54:19 +0200,2017-09-11 07:20:13 +0200,true,2017-09-11 07:04:00 +0200,,
2722010,d,2017-09-11 06:50:00 +0200,SN2816,Brussels/Zaventem (BE),Brussels Airlines,Terminal 2,C6,Departed 07:13,2017-09-10 06:54:19 +0200,2017-09-11 07:29:16 +0200,true,2017-09-11 07:13:00 +0200,,
