id,direction,scheduled,flight_number,city,airline,terminal,gate,last_status,created_at,updated_at,is_primary,actual,flight_guid,plane
2022646,a,2015-03-05 06:20:00 +0100,OK0911,Samara (RU),Czech Airlines,Terminal 1,,Arrived 05:42,2016-07-17 03:45:39 +0200,2016-12-09 09:10:47 +0100,true,2015-03-05 05:42:00 +0100,,
1644097,a,2015-03-05 06:30:00 +0100,OK0520,Ostrava (CZ),Czech Airlines,Terminal 2,,Arrived 06:14,2016-07-17 03:45:39 +0200,2016-12-09 09:03:01 +0100,true,2015-03-05 06:14:00 +0100,,
1605986,a,2015-03-05 06:30:00 +0100,OK0979,Kosice (SK),Czech Airlines,Terminal 2,,Arrived 06:16,2016-07-17 03:45:39 +0200,2016-12-09 09:11:48 +0100,true,2015-03-05 06:16:00 +0100,,
2025652,a,2015-03-05 07:35:00 +0100,OS0703,Vienna (AT),Austrian Airlines,Terminal 2,,Arrived 07:44,2016-07-17 03:45:39 +0200,2016-12-09 09:19:22 +0100,true,2015-03-05 07:44:00 +0100,,
1601455,a,2015-03-05 08:15:00 +0100,4U9772,Dusseldorf (DE),Germanwings,Terminal 2,,Arrived 08:13,2016-07-17 03:45:39 +0200,2016-12-09 08:18:31 +0100,true,2015-03-05 08:13:00 +0100,,
1924331,a,2015-03-05 08:25:00 +0100,KL1351,Amsterdam (NL),Klm Royal Dutch Airlines,Terminal 2,,Arrived 08:15,2016-07-17 03:45:39 +0200,2016-12-09 08:51:06 +0100,true,2015-03-05 08:15:00 +0100,,
1939643,a,2015-03-05 08:30:00 +0100,LO0523,Warsaw (PL),Lot Polish Airlines,Terminal 2,,Arrived 08:11,2016-07-17 03:45:39 +0200,2016-12-09 08:57:09 +0100,true,2015-03-05 08:11:00 +0100,,
1874064,a,2015-03-05 08:40:00 +0100,BT0481,Riga (LV),Air Baltic,Terminal 2,,Arrived 08:23,2016-07-17 03:45:39 +0200,2016-12-09 08:30:03 +0100,true,2015-03-05 08:23:00 +0100,,
1920967,a,2015-03-05 08:50:00 +0100,LX1484,Zurich (CH),Swiss International Air Lines,Terminal 2,,Arrived 08:58,2016-07-17 03:45:39 +0200,2016-12-09 08:58:35 +0100,true,2015-03-05 08:58:00 +0100,,
1999061,a,2015-03-05 08:55:00 +0100,AF1382,Paris/CDG (FR),Air France,Terminal 2,,Arrived 09:01,2016-07-17 03:45:39 +0200,2016-12-09 08:24:00 +0100,true,2015-03-05 09:01:00 +0100,,
1642229,a,2015-03-05 09:00:00 +0100,HV5287,Rotterdam (NL),Transavia.com,Terminal 2,,Arrived 08:55,2016-07-17 03:45:39 +0200,2016-12-09 08:44:29 +0100,true,2015-03-05 08:55:00 +0100,,
2088353,a,2015-03-05 09:00:00 +0100,RO0225,Bucharest (RO),Tarom,Terminal 1,,Arrived 08:48,2016-07-17 03:45:39 +0200,2016-12-09 09:35:19 +0100,true,2015-03-05 08:48:00 +0100,,
1938725,a,2015-03-05 09:10:00 +0100,LH1688,Munich (DE),Lufthansa,Terminal 2,,Arrived 09:09,2016-07-17 03:45:39 +0200,2016-12-09 08:55:55 +0100,true,2015-03-05 09:09:00 +0100,,
2073244,a,2015-03-05 09:10:00 +0100,QS1287,Tel Aviv (IL),Travel Service,Terminal 1,,Arrived 09:07,2016-07-17 03:45:39 +0200,2016-12-09 09:25:35 +0100,true,2015-03-05 09:07:00 +0100,,
1908225,a,2015-03-05 09:30:00 +0100,FV6221,St Petersburg (RU),Rossiya Airlines,Terminal 1,,Arrived 08:51,2016-07-17 03:45:39 +0200,2016-12-09 08:43:56 +0100,true,2015-03-05 08:51:00 +0100,,
1906740,a,2015-03-05 09:45:00 +0100,SU2010,Moscow/Sheremetyevo (RU),Aeroflot,Terminal 1,,Arrived 09:48,2016-07-17 03:45:39 +0200,2016-12-09 09:38:36 +0100,true,2015-03-05 09:48:00 +0100,,
1966273,a,2015-03-05 09:50:00 +0100,FR1013,London/Stansted (GB),Ryanair,Terminal 1,,Arrived 09:35,2016-07-17 03:45:39 +0200,2016-12-09 08:43:03 +0100,true,2015-03-05 09:35:00 +0100,,
1605199,a,2015-03-05 09:50:00 +0100,LX1472,Geneva (CH),Swiss International Air Lines,Terminal 2,,Arrived 09:57,2016-07-17 03:45:39 +0200,2016-12-09 08:58:24 +0100,true,2015-03-05 09:57:00 +0100,,
1967265,a,2015-03-05 09:50:00 +0100,OK7321,Braunschweig (DE),Czech Airlines,Terminal 3,,Arrived 09:26,2016-07-17 03:45:39 +0200,2016-12-09 09:18:54 +0100,true,2015-03-05 09:26:00 +0100,,
1965549,a,2015-03-05 10:10:00 +0100,LH1392,Frankfurt (DE),Lufthansa,Terminal 2,,Arrived 10:08,2016-07-17 03:45:39 +0200,2016-12-09 08:54:30 +0100,true,2015-03-05 10:08:00 +0100,,
1879419,a,2015-03-05 10:15:00 +0100,BA0854,London/Heathrow (GB),British Airways,Terminal 1,,Arrived 10:13,2016-07-17 03:45:39 +0200,2016-12-09 08:28:33 +0100,true,2015-03-05 10:13:00 +0100,,
1992672,a,2015-03-05 10:20:00 +0100,OK0535,Frankfurt (DE),Czech Airlines,Terminal 2,,Arrived 10:19,2016-07-17 03:45:39 +0200,2016-12-09 09:04:04 +0100,true,2015-03-05 10:19:00 +0100,,
2051185,a,2015-03-05 10:25:00 +0100,QS1035,Paris/CDG (FR),Travel Service,Terminal 2,,Arrived 10:28,2016-07-17 03:45:39 +0200,2016-12-09 09:22:31 +0100,true,2015-03-05 10:28:00 +0100,,
1649274,a,2015-03-05 10:30:00 +0100,LS0195,Leeds (GB),Jet2.com,Terminal 1,,Arrived 10:02,2016-07-17 03:45:39 +0200,2016-12-09 08:57:50 +0100,true,2015-03-05 10:02:00 +0100,,
1875823,a,2015-03-05 10:30:00 +0100,TK1767,Istanbul/Atatürk (TR),Turkish Airlines,Terminal 1,,Arrived 10:18,2016-07-17 03:45:39 +0200,2016-12-09 09:41:18 +0100,true,2015-03-05 10:18:00 +0100,,
1927381,a,2015-03-05 10:35:00 +0100,EZY6961,Edinburgh (GB),Easyjet,Terminal 1,,Arrived 10:23,2016-07-17 03:45:39 +0200,2016-12-09 08:42:26 +0100,true,2015-03-05 10:23:00 +0100,,
1979843,a,2015-03-05 10:35:00 +0100,OK0631,Brussels/Zaventem (BE),Czech Airlines,Terminal 2,,Arrived 10:33,2016-07-17 03:45:39 +0200,2016-12-09 09:05:30 +0100,true,2015-03-05 10:33:00 +0100,,
1934259,a,2015-03-05 10:40:00 +0100,OK0505,Copenhagen (DK),Czech Airlines,Terminal 2,,Arrived 10:11,2016-07-17 03:45:39 +0200,2016-12-09 09:02:31 +0100,true,2015-03-05 10:11:00 +0100,,
1873540,a,2015-03-05 10:45:00 +0100,AY2715,Helsinki (FI),Finnair,Terminal 2,,Arrived 10:31,2016-07-17 03:45:39 +0200,2016-12-09 08:26:34 +0100,true,2015-03-05 10:31:00 +0100,,
1636336,a,2015-03-05 10:45:00 +0100,OK0777,Warsaw (PL),Czech Airlines,Terminal 2,,Arrived 10:16,2016-07-17 03:45:39 +0200,2016-12-09 09:08:24 +0100,true,2015-03-05 10:16:00 +0100,,
1646624,a,2015-03-05 10:45:00 +0100,OK0787,Budapest (HU),Czech Airlines,Terminal 2,,Arrived 10:26,2016-07-17 03:45:39 +0200,2016-12-09 09:08:57 +0100,true,2015-03-05 10:26:00 +0100,,
1611049,a,2015-03-05 10:50:00 +0100,OK0543,Gothenburg (SE) via Hamburg (DE),Czech Airlines,Terminal 2,,Arrived 10:21,2016-07-17 03:45:39 +0200,2016-12-09 09:04:30 +0100,true,2015-03-05 10:21:00 +0100,,
2035999,a,2015-03-05 10:50:00 +0100,OS0705,Vienna (AT),Austrian Airlines,Terminal 2,,Arrived 10:56,2016-07-17 03:45:39 +0200,2016-12-09 09:19:38 +0100,true,2015-03-05 10:56:00 +0100,,
1959964,a,2015-03-05 10:55:00 +0100,OK0523,Dusseldorf (DE),Czech Airlines,Terminal 2,,Arrived 11:08,2016-07-17 03:45:39 +0200,2016-12-09 09:03:23 +0100,true,2015-03-05 11:08:00 +0100,,
1975006,a,2015-03-05 10:55:00 +0100,OK0617,Amsterdam (NL),Czech Airlines,Terminal 2,,Arrived 10:43,2016-07-17 03:45:39 +0200,2016-12-09 09:05:05 +0100,true,2015-03-05 10:43:00 +0100,,
1857595,a,2015-03-05 11:00:00 +0100,4U0772,Cologne/Bonn (DE),Germanwings,Terminal 2,,Arrived 10:58,2016-07-17 03:45:39 +0200,2016-12-09 08:18:10 +0100,true,2015-03-05 10:58:00 +0100,,
2090574,a,2015-03-05 11:00:00 +0100,SN2809,Brussels/Zaventem (BE),Brussels Airlines,Terminal 2,,Arrived 11:10,2016-07-17 03:45:39 +0200,2016-12-09 09:36:16 +0100,true,2015-03-05 11:10:00 +0100,,
1983193,a,2015-03-05 11:20:00 +0100,FB0301,Sofia (BG),Bulgaria Air,Terminal 1,,Arrived 11:00,2016-07-17 03:45:39 +0200,2016-12-09 08:42:49 +0100,true,2015-03-05 11:00:00 +0100,,
1944172,a,2015-03-05 11:20:00 +0100,LY2521,Tel Aviv (IL),Up By El Al,Terminal 1,,Arrived 11:12,2016-07-17 03:45:39 +0200,2016-12-09 08:59:24 +0100,true,2015-03-05 11:12:00 +0100,,
1890203,a,2015-03-05 11:30:00 +0100,AF1536,Paris/CDG (FR),Air France,Terminal 2,,Arrived 12:28,2016-07-17 03:45:39 +0200,2016-12-09 08:24:20 +0100,true,2015-03-05 12:28:00 +0100,,
2010048,a,2015-03-05 11:30:00 +0100,DY1502,Oslo (NO),Norwegian,Terminal 2,,Cancelled,2016-07-17 03:45:39 +0200,2016-07-17 03:45:39 +0200,true,,,
1880676,a,2015-03-05 11:30:00 +0100,LS0887,Manchester (GB),Jet2.com,Terminal 1,,Arrived 12:09,2016-07-17 03:45:39 +0200,2016-12-09 08:58:07 +0100,true,2015-03-05 12:09:00 +0100,,
2000049,a,2015-03-05 11:30:00 +0100,OK0759,Paris/CDG (FR),Czech Airlines,Terminal 2,,Arrived 12:28,2016-07-17 03:45:39 +0200,2016-12-09 09:07:42 +0100,true,2015-03-05 12:28:00 +0100,,
2079673,a,2015-03-05 11:40:00 +0100,QS2597,Marsa Allam (EG) via Sharm El Sheikh (EG),Travel Service,Terminal 1,,Arrived 11:22,2016-07-17 03:45:39 +0200,2016-12-09 09:26:45 +0100,true,2015-03-05 11:22:00 +0100,,
1993081,a,2015-03-05 11:45:00 +0100,OK0719,Milan/Malpensa (IT),Czech Airlines,Terminal 2,,Arrived 11:45,2016-07-17 03:45:39 +0200,2016-12-09 09:06:30 +0100,true,2015-03-05 11:45:00 +0100,,
1911906,a,2015-03-05 11:50:00 +0100,EZY5493,London/Gatwick (GB),Easyjet,Terminal 1,,Arrived 12:01,2016-07-17 03:45:39 +0200,2016-12-09 08:41:51 +0100,true,2015-03-05 12:01:00 +0100,,
2046081,a,2015-03-05 11:50:00 +0100,PS0807,Kiev/Borispol (UA),Ukraine International Airlines,Terminal 1,,Arrived 11:17,2016-07-17 03:45:39 +0200,2016-12-09 09:21:32 +0100,true,2015-03-05 11:17:00 +0100,,
1952466,a,2015-03-05 12:00:00 +0100,EZY2581,Milan/Malpensa (IT),Easyjet,Terminal 2,,Arrived 11:52,2016-07-17 03:45:39 +0200,2016-12-09 08:40:30 +0100,true,2015-03-05 11:52:00 +0100,,
1963515,a,2015-03-05 12:10:00 +0100,LO0527,Warsaw (PL),Lot Polish Airlines,Terminal 2,,Arrived 11:58,2016-07-17 03:45:39 +0200,2016-12-09 08:57:34 +0100,true,2015-03-05 11:58:00 +0100,,
1878105,a,2015-03-05 12:15:00 +0100,B20861,Minsk (BY),Belavia,Terminal 1,,Arrived 12:03,2016-07-17 03:45:39 +0200,2016-12-09 08:28:08 +0100,true,2015-03-05 12:03:00 +0100,,
1916835,a,2015-03-05 12:20:00 +0100,FZ0781,Dubai (AE),Flydubai,Terminal 1,,Arrived 12:46,2016-07-17 03:45:39 +0200,2016-12-09 08:44:10 +0100,true,2015-03-05 12:46:00 +0100,,
1936403,a,2015-03-05 12:30:00 +0100,LH1690,Munich (DE),Lufthansa,Terminal 2,,Arrived 12:48,2016-07-17 03:45:39 +0200,2016-12-09 08:56:08 +0100,true,2015-03-05 12:48:00 +0100,,
