id,direction,scheduled,flight_number,city,airline,terminal,gate,last_status,created_at,updated_at,is_primary,actual,flight_guid,plane
1586805,a,2015-10-28 05:40:00 +0100,HU7937,Beijing (CN),Hainan Airlines,Terminal 1,,Arrived 04:44,2016-07-17 03:45:39 +0200,2016-12-09 08:44:22 +0100,true,2015-10-28 04:44:00 +0100,,
1948684,a,2015-10-28 06:30:00 +0100,OK0021,Ostrava (CZ),Czech Airlines,Terminal 2,,Arrived 06:21,2016-07-17 03:45:39 +0200,2016-12-09 09:01:12 +0100,true,2015-10-28 06:21:00 +0100,,
2027027,a,2015-10-28 07:40:00 +0100,OS0703,Vienna (AT),Austrian Airlines,Terminal 2,,Arrived 07:23,2016-07-17 03:45:39 +0200,2016-12-09 09:19:23 +0100,true,2015-10-28 07:23:00 +0100,,
1864123,a,2015-10-28 08:00:00 +0100,OK0913,Ekaterinburg (RU),Czech Airlines,Terminal 1,,Arrived 07:48,2016-07-17 03:45:39 +0200,2016-12-09 09:10:52 +0100,true,2015-10-28 07:48:00 +0100,,
1910333,a,2015-10-28 08:15:00 +0100,EW1770,Dusseldorf (DE),Eurowings Ag,Terminal 2,,Arrived 08:09,2016-07-17 03:45:39 +0200,2016-12-09 08:38:59 +0100,true,2015-10-28 08:09:00 +0100,,
1633867,a,2015-10-28 08:20:00 +0100,KL1351,Amsterdam (NL),Klm Royal Dutch Airlines,Terminal 2,,Arrived 08:17,2016-07-17 03:45:39 +0200,2016-12-09 08:51:08 +0100,true,2015-10-28 08:17:00 +0100,,
1622060,a,2015-10-28 08:30:00 +0100,LO0523,Warsaw (PL),Lot Polish Airlines,Terminal 2,,Arrived 08:20,2016-07-17 03:45:39 +0200,2016-12-09 08:57:10 +0100,true,2015-10-28 08:20:00 +0100,,
1889160,a,2015-10-28 08:35:00 +0100,FR3355,Bremen (DE),Ryanair,Terminal 2,,Arrived 08:15,2016-07-17 03:45:39 +0200,2016-12-09 08:43:31 +0100,true,2015-10-28 08:15:00 +0100,,
2071929,a,2015-10-28 08:45:00 +0100,QS1263,Tel Aviv (IL),Travel Service,Terminal 1,,Arrived 08:53,2016-07-17 03:45:39 +0200,2016-12-09 09:25:23 +0100,true,2015-10-28 08:53:00 +0100,,
1921184,a,2015-10-28 08:50:00 +0100,LX1484,Zurich (CH),Swiss International Air Lines,Terminal 2,,Arrived 08:45,2016-07-17 03:45:39 +0200,2016-12-09 08:58:37 +0100,true,2015-10-28 08:45:00 +0100,,
1859545,a,2015-10-28 08:55:00 +0100,JU0610,Belgrade (RS),Air Serbia,Terminal 1,,Arrived 08:51,2016-07-17 03:45:39 +0200,2016-12-09 08:46:49 +0100,true,2015-10-28 08:51:00 +0100,,
1999279,a,2015-10-28 09:00:00 +0100,AF1382,Paris/CDG (FR),Air France,Terminal 2,,Arrived 09:02,2016-07-17 03:45:39 +0200,2016-12-09 08:24:01 +0100,true,2015-10-28 09:02:00 +0100,,
1890677,a,2015-10-28 09:00:00 +0100,J20109,Baku (AZ),Azerbaijan Airlines,Terminal 1,,Arrived 08:41,2016-07-17 03:45:39 +0200,2016-12-09 08:45:45 +0100,true,2015-10-28 08:41:00 +0100,,
2088548,a,2015-10-28 09:00:00 +0100,RO0225,Bucharest (RO),Tarom,Terminal 1,,Arrived 08:44,2016-07-17 03:45:39 +0200,2016-12-09 09:35:20 +0100,true,2015-10-28 08:44:00 +0100,,
2003384,a,2015-10-28 09:05:00 +0100,TK1767,Istanbul/Atatürk (TR),Turkish Airlines,Terminal 1,,Arrived 08:37,2016-07-17 03:45:39 +0200,2016-12-09 09:41:19 +0100,true,2015-10-28 08:37:00 +0100,,
1938886,a,2015-10-28 09:10:00 +0100,LH1688,Munich (DE),Lufthansa,Terminal 2,,Arrived 09:00,2016-07-17 03:45:39 +0200,2016-12-09 08:55:56 +0100,true,2015-10-28 09:00:00 +0100,,
1934848,a,2015-10-28 09:25:00 +0100,EZY4973,Rome/Fiumicino (IT),Easyjet,Terminal 2,,Arrived 08:57,2016-07-17 03:45:39 +0200,2016-12-09 08:41:40 +0100,true,2015-10-28 08:57:00 +0100,,
1863421,a,2015-10-28 09:35:00 +0100,AB8242,Berlin/Tegel (DE),Air Berlin,Terminal 2,,Arrived 09:18,2016-07-17 03:45:39 +0200,2016-12-09 08:21:14 +0100,true,2015-10-28 09:18:00 +0100,,
1900166,a,2015-10-28 09:40:00 +0100,DY3580,Copenhagen (DK),Norwegian,Terminal 2,,Arrived 09:28,2016-07-17 03:45:39 +0200,2016-12-09 08:37:31 +0100,true,2015-10-28 09:28:00 +0100,,
1914381,a,2015-10-28 09:40:00 +0100,FR1013,London/Stansted (GB),Ryanair,Terminal 1,,Arrived 09:38,2016-07-17 03:45:39 +0200,2016-12-09 08:43:05 +0100,true,2015-10-28 09:38:00 +0100,,
2092418,a,2015-10-28 09:45:00 +0100,SU2010,Moscow/Sheremetyevo (RU),Aeroflot,Terminal 1,,Arrived 09:51,2016-07-17 03:45:39 +0200,2016-12-09 09:38:37 +0100,true,2015-10-28 09:51:00 +0100,,
