id,direction,scheduled,flight_number,city,airline,terminal,gate,last_status,created_at,updated_at,is_primary,actual,flight_guid,plane
170722,d,2019-06-24 04:05:00 +0200,QS1108,Larnaca,Smartwings,1,B3,Departed 04:04,2019-06-23 04:06:07 +0200,2019-06-24 04:17:06 +0200,true,2019-06-24 04:04:00 +0200,5d0ede4cbebcb9c35b4ea7e8,73H
170724,d,2019-06-24 04:15:00 +0200,QS1182,Bourgas,Smartwings,1,A4,Departed 04:18,2019-06-23 04:16:07 +0200,2019-06-24 04:31:06 +0200,true,2019-06-24 04:18:00 +0200,5d0ee0a4bebcb9c35b4eb493,73H
170726,d,2019-06-24 04:45:00 +0200,QS1146,Rhodes,Smartwings,2,D2,Departed 04:38,2019-06-23 04:46:07 +0200,2019-06-24 04:50:06 +0200,true,2019-06-24 04:38:00 +0200,5d0ee7acbebcb9c35b4eca74,73H
170728,d,2019-06-24 04:45:00 +0200,QS1190,Antalya,Smartwings,1,A7,Departed 04:55,2019-06-23 04:46:07 +0200,2019-06-24 05:11:06 +0200,true,2019-06-24 04:55:00 +0200,5d0ee7acbebcb9c35b4eca75,73H
170730,d,2019-06-24 04:50:00 +0200,QS1126,Kos,Smartwings,2,C7,Departed 04:55,2019-06-23 04:51:07 +0200,2019-06-24 05:08:06 +0200,true,2019-06-24 04:55:00 +0200,5d0ee8d8bebcb9c35b4ecb35,73H
170732,d,2019-06-24 04:55:00 +0200,QS1102,Heraklion,Smartwings,2,C10,Departed 05:03,2019-06-23 04:57:07 +0200,2019-06-24 05:18:06 +0200,true,2019-06-24 05:03:00 +0200,5d0eea0ebebcb9c35b4ecee1,73H
170734,d,2019-06-24 05:05:00 +0200,QS1186,Varna,Smartwings,1,B4,Departed 05:05,2019-06-23 05:06:06 +0200,2019-06-24 05:17:06 +0200,true,2019-06-24 05:05:00 +0200,5d0eec5cbebcb9c35b4ed1b2,73H
170736,d,2019-06-24 05:10:00 +0200,QS1114,Kerkyra/CORFU,Smartwings,2,D6,Departed 05:01,2019-06-23 05:11:07 +0200,2019-06-24 05:15:06 +0200,true,2019-06-24 05:01:00 +0200,5d0eed88bebcb9c35b4ed1c1,73H
170738,d,2019-06-24 05:15:00 +0200,QS1118,Zakinthos Island,Smartwings,2,D3,Departed 05:26,2019-06-23 05:16:07 +0200,2019-06-24 05:38:06 +0200,true,2019-06-24 05:26:00 +0200,5d0eeeb4bebcb9c35b4ed2b7,73H
170740,d,2019-06-24 06:00:00 +0200,FR8220,Copenhagen,Ryanair,2,C19,Departed 05:59,2019-06-23 06:01:07 +0200,2019-06-24 06:08:06 +0200,true,2019-06-24 05:59:00 +0200,5d0ef941bebcb9c35b4ee3a8,73H
170741,d,2019-06-24 06:00:00 +0200,LH1403,Frankfurt,Lufthansa,2,C9,Departed 06:03,2019-06-23 06:01:07 +0200,2019-06-24 06:15:06 +0200,true,2019-06-24 06:03:00 +0200,5d0ef941bebcb9c35b4ee3a9,321
170749,d,2019-06-24 06:00:00 +0200,QS1130,Preveza Aktion Airport,Smartwings,2,D5,Departed 06:11,2019-06-23 06:01:07 +0200,2019-06-24 06:28:06 +0200,true,2019-06-24 06:11:00 +0200,5d0ef941bebcb9c35b4ee3aa,734
170751,d,2019-06-24 06:00:00 +0200,QS1180,Bourgas,Smartwings,1,A3,Departed 05:57,2019-06-23 06:01:07 +0200,2019-06-24 06:12:06 +0200,true,2019-06-24 05:57:00 +0200,5d0ef941bebcb9c35b4ee3ab,73H
170753,d,2019-06-24 06:00:00 +0200,QS2932,Varna,Smartwings,1,A2,Departed 05:56,2019-06-23 06:01:07 +0200,2019-06-24 06:10:06 +0200,true,2019-06-24 05:56:00 +0200,5d0ef941bebcb9c35b4ee3ac,73H
170758,d,2019-06-24 06:15:00 +0200,FR2122,Charleroi,Ryanair,2,C17,Departed 06:17,2019-06-23 06:16:07 +0200,2019-06-24 06:31:06 +0200,true,2019-06-24 06:17:00 +0200,5d0efcc5bebcb9c35b4ee610,73H
170762,d,2019-06-24 06:20:00 +0200,KL1350,Amsterdam,Klm Royal Dutch Airlines,2,C4,Departed 06:23,2019-06-23 06:21:07 +0200,2019-06-24 06:37:06 +0200,true,2019-06-24 06:23:00 +0200,5d0efdf0bebcb9c35b4ee770,73W
170767,d,2019-06-24 06:20:00 +0200,QS2000,Corvera International Airport,Smartwings,2,C3,Departed 06:20,2019-06-23 06:21:07 +0200,2019-06-24 06:35:06 +0200,true,2019-06-24 06:20:00 +0200,5d0efdf0bebcb9c35b4ee771,73H
170775,d,2019-06-24 06:35:00 +0200,FR1014,London/STANSTED,Ryanair,1,B10,Departed 06:38,2019-06-23 06:36:07 +0200,2019-06-24 06:46:06 +0200,true,2019-06-24 06:38:00 +0200,5d0f0174bebcb9c35b4ef649,73H
170776,d,2019-06-24 06:35:00 +0200,FR8210,Bari,Ryanair,2,C15,Departed 06:43,2019-06-23 06:36:07 +0200,2019-06-24 06:52:06 +0200,true,2019-06-24 06:43:00 +0200,5d0f0174bebcb9c35b4ef64a,73H
170778,d,2019-06-24 06:45:00 +0200,BA0853,London/HEATHROW,British Airways,1,A9,Departed 06:45,2019-06-23 06:46:06 +0200,2019-06-24 07:01:07 +0200,true,2019-06-24 06:45:00 +0200,5d0f03ccbebcb9c35b4ef930,320
170781,d,2019-06-24 06:45:00 +0200,TP1245,Lisbon,Tap Portugal,2,C7,Departed 07:08,2019-06-23 06:46:06 +0200,2019-06-24 07:22:06 +0200,true,2019-06-24 07:08:00 +0200,5d0f03ccbebcb9c35b4ef931,320
