id,direction,scheduled,flight_number,city,airline,terminal,gate,last_status,created_at,updated_at,is_primary,actual,flight_guid,plane
2655032,a,2017-08-12 04:25:00 +0200,QS4163,Boa Vista Island (KV) via Sal,Travel Service,Terminal 1,"",Arrived 03:38,2017-08-11 04:28:27 +0200,2017-08-12 03:44:22 +0200,true,2017-08-12 03:38:00 +0200,,
2656628,a,2017-08-12 06:00:00 +0200,HU7937,Beijing (CN),Hainan Airlines,Terminal 1,"",Arrived 05:31,2017-08-11 06:05:23 +0200,2017-08-12 05:37:18 +0200,true,2017-08-12 05:31:00 +0200,,
2654793,a,2017-08-12 06:00:00 +0200,TP1302,Lisbon (PT),Tap Portugal,Terminal 2,"",Arrived 05:55,2017-08-11 06:05:23 +0200,2017-08-12 06:02:19 +0200,true,2017-08-12 05:55:00 +0200,,
2654844,a,2017-08-12 06:05:00 +0200,OK0915,Rostov on Don (RU),Czech Airlines,Terminal 1,"",Arrived 06:15,2017-08-11 06:09:25 +0200,2017-08-12 06:21:20 +0200,true,2017-08-12 06:15:00 +0200,,
2655172,a,2017-08-12 06:15:00 +0200,OK0911,Samara (RU),Czech Airlines,Terminal 1,"",Arrived 06:13,2017-08-11 06:20:21 +0200,2017-08-12 06:17:18 +0200,true,2017-08-12 06:13:00 +0200,,
2656722,a,2017-08-12 06:15:00 +0200,OK0917,Kiev/Borispol (UA),Czech Airlines,Terminal 1,"",Arrived 05:57,2017-08-11 06:20:21 +0200,2017-08-12 06:02:19 +0200,true,2017-08-12 05:57:00 +0200,,
2655415,a,2017-08-12 06:45:00 +0200,SM0426,Marsa Alam (EG),Air Cairo,Terminal 1,"",Arrived 06:45,2017-08-11 06:51:24 +0200,2017-08-12 06:49:17 +0200,true,2017-08-12 06:45:00 +0200,,
2655784,a,2017-08-12 07:00:00 +0200,AC1922,Toronto (CA),Air Canada,Terminal 1,"",Arrived 07:02,2017-08-11 07:05:23 +0200,2017-08-12 07:08:16 +0200,true,2017-08-12 07:02:00 +0200,,
2656279,a,2017-08-12 07:25:00 +0200,4U0772,Cologne/Bonn (DE),Germanwings,Terminal 2,"",Arrived 07:20,2017-08-11 07:28:26 +0200,2017-08-12 07:25:18 +0200,true,2017-08-12 07:20:00 +0200,,
2656358,a,2017-08-12 07:30:00 +0200,OS0703,Vienna (AT),Austrian Airlines,Terminal 2,"",Arrived 07:54,2017-08-11 07:36:25 +0200,2017-08-12 07:59:19 +0200,true,2017-08-12 07:54:00 +0200,,
2655462,a,2017-08-12 08:00:00 +0200,OK0913,Ekaterinburg (RU),Czech Airlines,Terminal 1,"",Arrived 07:45,2017-08-11 08:04:25 +0200,2017-08-12 07:49:21 +0200,true,2017-08-12 07:45:00 +0200,,
2656959,a,2017-08-12 08:20:00 +0200,KL1351,Amsterdam (NL),Klm Royal Dutch Airlines,Terminal 2,"",Arrived 07:59,2017-08-11 08:24:25 +0200,2017-08-12 08:05:17 +0200,true,2017-08-12 07:59:00 +0200,,
2655419,a,2017-08-12 08:25:00 +0200,BT0479,Riga (LV),Air Baltic,Terminal 2,"",Arrived 08:18,2017-08-11 08:30:23 +0200,2017-08-12 08:24:20 +0200,true,2017-08-12 08:18:00 +0200,,
2655422,a,2017-08-12 08:25:00 +0200,EW9772,Dusseldorf (DE),Eurowings Ag,Terminal 2,"",Arrived 09:08,2017-08-11 08:30:23 +0200,2017-08-12 09:14:19 +0200,true,2017-08-12 09:08:00 +0200,,
